"itemID","productName","category","description"
"Item_0001","Casual T-Shirt","Clothing","Stay comfortable and stylish with this Casual T-Shirt, crafted from high-quality materials. A versatile addition to any wardrobe."
"Item_0002","All-Weather Seat Cover","Automotive","Keep your vehicle in top shape with this All-Weather Seat Cover. Engineered for performance and reliability."
"Item_0003","Breathable Shirt","Clothing","Stay comfortable and stylish with this Breathable Shirt, crafted from high-quality materials. A versatile addition to any wardrobe."
"Item_0004","Organic Trowel","Garden","Maintain a beautiful garden with this Organic Trowel. Makes gardening tasks easier and more enjoyable."
"Item_0005","Bamboo Pan Set","Home Goods","Upgrade your home with this durable and Bamboo Pan Set. Designed for convenience and lasting quality."
"Item_0006","Farm-Fresh Chocolate Bar","Grocery","Enjoy the authentic taste of this Farm-Fresh Chocolate Bar. Sourced responsibly and packed with flavor."
"Item_0007","Fantasy Biography","Books","A compelling Fantasy Biography. This Books title is a must-read for fans of the genre."
"Item_0008","Sci-Fi Memoir","Books","A compelling Sci-Fi Memoir. This Books title is a must-read for fans of the genre."
"Item_0009","Easy Install Seat Cover","Automotive","Keep your vehicle in top shape with this Easy Install Seat Cover. Engineered for performance and reliability."
"Item_0010","Sci-Fi Biography","Books","A compelling Sci-Fi Biography. This Books title is a must-read for fans of the genre."
"Item_0011","Premium Air Freshener","Automotive","Keep your vehicle in top shape with this Premium Air Freshener. Engineered for performance and reliability."
"Item_0012","Bamboo Knife Block","Home Goods","Upgrade your home with this durable and Bamboo Knife Block. Designed for convenience and lasting quality."
"Item_0013","Heavy-Duty Floor Mats","Automotive","Keep your vehicle in top shape with this Heavy-Duty Floor Mats. Engineered for performance and reliability."
"Item_0014","Organic Cleanser","Beauty","Nourish yourself with our Organic Cleanser. Formulated with care using Organic ingredients for the best results."
"Item_0015","Heavy-Duty Motor Oil","Automotive","Keep your vehicle in top shape with this Heavy-Duty Motor Oil. Engineered for performance and reliability."
"Item_0016","Thriller Memoir","Books","A compelling Thriller Memoir. This Books title is a must-read for fans of the genre."
"Item_0017","Durable Backpack","Sports & Outdoors","This Durable Backpack is your perfect companion for any adventure. Built to be Durable and reliable."
"Item_0018","Compact Lamp","Home Goods","Upgrade your home with this durable and Compact Lamp. Designed for convenience and lasting quality."
"Item_0019","Bamboo Pan Set","Home Goods","Upgrade your home with this durable and Bamboo Pan Set. Designed for convenience and lasting quality."
"Item_0020","Bamboo Mug","Home Goods","Upgrade your home with this durable and Bamboo Mug. Designed for convenience and lasting quality."
